x,y
1.718476562819842401e+00,-3.408553744736753099e-01
1.718466071248431648e+00,-3.438417903314243684e-01
1.718456179773889758e+00,-3.466575778685745957e-01
1.718446288962004465e+00,-3.494733654655323152e-01
1.718436998140385752e+00,-3.521185207844035880e-01
1.718427707941996063e+00,-3.547636759527790784e-01
1.718419017626541256e+00,-3.572381950929608418e-01
1.718410327894907219e+00,-3.597127138675749181e-01
1.718402945084618105e+00,-3.620165964137722625e-01
1.718396977078632260e+00,-3.643204827083733610e-01
1.718392106356464000e+00,-3.664537260237347160e-01
1.718387236144082841e+00,-3.685869685575969279e-01
1.718381197836239549e+00,-3.712321321830132081e-01
1.718375160157841197e+00,-3.738772954283088312e-01
1.718367954831490962e+00,-3.770343451222572528e-01
1.718360750262817538e+00,-3.801913918963310546e-01
1.718352378505299427e+00,-3.838602840366395208e-01
1.718344007633565873e+00,-3.875291704458851960e-01
1.718334470046697593e+00,-3.917098546396227676e-01
1.718324933474591587e+00,-3.958905298786937754e-01
1.718314230675858312e+00,-4.005829487795745658e-01
1.718303529021808718e+00,-4.052753550651392311e-01
1.718291661644468116e+00,-4.104794443288651284e-01
1.718279795542690058e+00,-4.156835168704842154e-01
1.718266764235793831e+00,-4.213992051335823108e-01
1.718253734336295135e+00,-4.271148721184842012e-01
1.718239539764682133e+00,-4.333420809892442049e-01
1.718225346733249115e+00,-4.395692635765655054e-01
1.718210766626316888e+00,-4.459669409854064015e-01
1.718196188049471163e+00,-4.523646109515626623e-01
1.718181610979875318e+00,-4.587622824535646515e-01
1.718167035412790034e+00,-4.651599566419892251e-01
1.718152461348593896e+00,-4.715576332280340122e-01
1.718137888788329404e+00,-4.779553117665737427e-01
1.718123706045621146e+00,-4.841824955890189908e-01
1.718109524742855942e+00,-4.904096902796953317e-01
1.718095991999972316e+00,-4.963527071434770122e-01
1.718082460618378216e+00,-5.022957389828134334e-01
1.718070095300830769e+00,-5.077271904951314863e-01
1.718057731207265570e+00,-5.131586626880541013e-01
1.718047371319736172e+00,-5.184195951869254859e-01
1.718040242189343259e+00,-5.236805388653660298e-01
1.718035265288833768e+00,-5.284298097256611149e-01
1.718030289502259667e+00,-5.331790942256026122e-01
1.718025493496438960e+00,-5.377578069187080034e-01
1.718020698563875737e+00,-5.423365230851899810e-01
1.718016440509492870e+00,-5.464034821283221266e-01
1.718012183398831105e+00,-5.504704493889459593e-01
1.718008105775475469e+00,-5.543668194006068362e-01
1.718004029066811711e+00,-5.582631912468900559e-01
1.718001275212596823e+00,-5.619889599638503430e-01
1.718000809156490449e+00,-5.657147312839186926e-01
1.718001456373380309e+00,-5.692698934908365649e-01
1.718002104437651223e+00,-5.728250569717824314e-01
1.718002722197246923e+00,-5.762096063420097947e-01
1.718003340753328168e+00,-5.795941567413361861e-01
1.718004915212668848e+00,-5.828080882020751918e-01
1.718008463047575818e+00,-5.860220190075217106e-01
1.718012757185135353e+00,-5.890653247899295675e-01
1.718017052047914994e+00,-5.921086310663877805e-01
1.718021106788253816e+00,-5.949813097057741196e-01
1.718025162204640965e+00,-5.978539885766580575e-01
1.718028977372567656e+00,-6.005560357005026439e-01
1.718032793176225814e+00,-6.032580828025337905e-01
1.718037145508577890e+00,-6.057894937047727524e-01
1.718043052247202107e+00,-6.083209012386879833e-01
1.718049285918723745e+00,-6.106816672691014469e-01
1.718055520150952864e+00,-6.130424328036473414e-01
1.718060460022350799e+00,-6.159151012044412621e-01
1.718060106869722103e+00,-6.187877727127130134e-01
1.718050336757017016e+00,-6.221722673576829399e-01
1.718028094833692121e+00,-6.255567002553958922e-01
1.717984544111376799e+00,-6.294527235219243844e-01
1.717919460631804673e+00,-6.333484426336453144e-01
1.717817414226874506e+00,-6.377551927638720475e-01
1.717682899394483043e+00,-6.421610664094833387e-01
1.717492020030450872e+00,-6.470768493164422708e-01
1.717255877526341790e+00,-6.519906598294508138e-01
1.716941909837957692e+00,-6.574125597294963042e-01
1.716571378202764286e+00,-6.628308778848396310e-01
1.716102291056832208e+00,-6.687547720264784834e-01
1.715567788052720033e+00,-6.746731025212447941e-01
1.714922047177898090e+00,-6.810374629743894959e-01
1.714206049535624166e+00,-6.873942595434348046e-01
1.713421823500534513e+00,-6.937430346153737881e-01
1.712571433751665539e+00,-7.000831265567067918e-01
1.711655151037643652e+00,-7.064128222239334232e-01
1.710671942996216721e+00,-7.127383029642037071e-01
1.709625588049966893e+00,-7.190480063280968448e-01
1.708517170686332021e+00,-7.253482056714742887e-01
1.707346922016109936e+00,-7.316373769751357559e-01
1.706114968472685955e+00,-7.379148058302629209e-01
1.704821432610128085e+00,-7.441798552077133477e-01
1.703466441084514837e+00,-7.504319053632999559e-01
1.702127412056630096e+00,-7.563383023301811781e-01
1.700734063660676032e+00,-7.622321109618086510e-01
1.699410424728314606e+00,-7.676165372028243006e-01
1.698040659417355824e+00,-7.729889525135329453e-01
1.696669185325008211e+00,-7.781878263548632768e-01
1.695257150538473256e+00,-7.833724203481291504e-01
1.693943358606714744e+00,-7.880542222675562813e-01
1.692595075334129673e+00,-7.927263156764690066e-01
1.691359162466651744e+00,-7.968982030145618234e-01
1.690095090349029716e+00,-8.010616667875888330e-01
1.688854798422541048e+00,-8.050540156347706366e-01
1.687590009969396343e+00,-8.090386776423281745e-01
1.686459665798352603e+00,-8.125290250953810522e-01
1.685310043203699371e+00,-8.160130769043730803e-01
1.684086827874235803e+00,-8.196524292360441999e-01
1.682843515451004635e+00,-8.232849609017783843e-01
1.681749516313591153e+00,-8.264276028951620390e-01
1.680640086839527481e+00,-8.295648341506698387e-01
1.679457584220542810e+00,-8.328571419765826711e-01
1.678258919127622262e+00,-8.361435968027406407e-01
1.677222720087659269e+00,-8.389444568608889208e-01
1.676174486668706054e+00,-8.417408366261839303e-01
1.675174815003790174e+00,-8.443731732863898332e-01
1.674163833777250421e+00,-8.470011863687464393e-01
1.673079616394293367e+00,-8.497838087462254997e-01
1.671983444406950126e+00,-8.525617418697730709e-01
1.671065976833960631e+00,-8.548598816032114689e-01
1.670140045131131235e+00,-8.571546230819201417e-01
1.669141230346551152e+00,-8.596039353477787914e-01
1.668133394694562677e+00,-8.620495487459591821e-01
1.667116551827871884e+00,-8.644914301977059123e-01
1.666090715479470408e+00,-8.669295467513550291e-01
1.664852978830279717e+00,-8.698337874322411567e-01
1.663599208516207906e+00,-8.727311378083240090e-01
1.662120513998204707e+00,-8.760886941701655495e-01
1.660617116244689440e+00,-8.794352595352049606e-01
1.658872490146886092e+00,-8.832342246724925738e-01
1.657092946300749103e+00,-8.870169565440421122e-01
1.655052726330751067e+00,-8.912421303427668917e-01
1.652965935949189946e+00,-8.954444957324898535e-01
1.650596050907348955e+00,-9.000768913640920799e-01
1.648166648723672134e+00,-9.046783370724981177e-01
1.645428978758207261e+00,-9.096946081857048005e-01
1.642617720942559645e+00,-9.146699866867573636e-01
1.639642879875341519e+00,-9.197476442744869640e-01
1.636584308218433925e+00,-9.247753015161694901e-01
1.633165070633174620e+00,-9.301805799372226957e-01
1.629646916187803996e+00,-9.355219831115397788e-01
1.626027917656512667e+00,-9.407953130030536348e-01
1.622306062145869143e+00,-9.459965762214936902e-01
1.618484270860447660e+00,-9.511250533129270712e-01
1.614565598136368241e+00,-9.561799211241520657e-01
1.610659845509018417e+00,-9.610279394460788938e-01
1.606665486482153238e+00,-9.658032460828326338e-01
1.602472147166071226e+00,-9.706329074240239718e-01
1.598190611875693001e+00,-9.753845469713520178e-01
1.593823675650823279e+00,-9.800579904065325199e-01
1.589374262912251590e+00,-9.846529782008484055e-01
1.584845084269558724e+00,-9.891695284025089352e-01
1.580238969527492099e+00,-9.936075869684264372e-01
1.575683257336609522e+00,-9.978511739972015793e-01
1.571057845831128841e+00,-1.002018697173169937e+00
1.566235513327284279e+00,-1.006220985922535061e+00
1.561344228648233301e+00,-1.010342783976091008e+00
1.556650712608874221e+00,-1.014169138471773479e+00
1.551896727528897291e+00,-1.017920116648965978e+00
1.547265171222626412e+00,-1.021458300443636835e+00
1.542579867300805319e+00,-1.024924997387645309e+00
1.538260375773367050e+00,-1.028025611989068944e+00
1.533899396328885167e+00,-1.031067608466570196e+00
1.529922786994370565e+00,-1.033765943724494818e+00
1.525913344195680477e+00,-1.036415240978402874e+00
1.522303333667880176e+00,-1.038740560326851137e+00
1.518667846821540435e+00,-1.041025830377522166e+00
1.514861266380701954e+00,-1.043358742878833123e+00
1.511027742120259143e+00,-1.045647076368629413e+00
1.507315871929342910e+00,-1.047805980221306665e+00
1.503580371060276200e+00,-1.049923720186475062e+00
1.500270668906778182e+00,-1.051754673059463574e+00
1.496943139123992905e+00,-1.053553012602842731e+00
1.493749460264854889e+00,-1.055239930338872867e+00
1.490540386601314271e+00,-1.056897348661024250e+00
1.487468926032677219e+00,-1.058449199924963668e+00
